Area,Length_indices
0.10038440969612322,2.0
0.10030285434483545,2.00875
0.09928433869115774,2.0700000000000003
0.09715025772359731,2.14
0.0944908877043547,2.20125
0.09116673795686679,2.2625
0.08726610120014322,2.32375
0.08223237261644968,2.3937500000000003
0.07744742824448576,2.455
0.07242674686148157,2.5162500000000003
0.06728357220075572,2.5775
0.06139446906504734,2.6475
0.0563433677727203,2.70875
0.051479316764735925,2.77
0.046876350470530716,2.8312500000000003
0.0420113363412586,2.90125
0.03814991512867664,2.9625000000000004
0.03468858242083337,3.02375
0.031643933883556706,3.085
0.02868188389281427,3.1550000000000002
0.026539865895654383,3.21625
0.024808641034439336,3.2775000000000003
0.023476336996935545,3.33875
0.022425776076063702,3.4087500000000004
0.021906317877473665,3.47
0.02174996133078565,3.5312500000000004
0.021950047930220467,3.5925000000000002
0.022610322878828654,3.6625
0.023563894539671552,3.7237500000000003
0.024867457044708826,3.785
0.02651939697885493,3.8462500000000004
0.028828051784258072,3.9162500000000002
0.031205411358451868,3.9775000000000005
0.033898639265448616,4.03875
0.036882044260443385,4.1000000000000005
0.04060091074812659,4.17
0.04407300565212023,4.23125
0.04768826364947825,4.2925
0.05137897143011744,4.353750000000001
0.055591554736520846,4.42375
0.05918031177049373,4.485
0.06258830750259774,4.546250000000001
0.06572943473809237,4.6075
0.06888638276330869,4.6775
0.07118477743227118,4.7387500000000005
0.07298141834911397,4.800000000000001
0.07422387440014888,4.86125
0.07491805629036355,4.93125
0.0748686027367761,4.992500000000001
0.07481117871858516,5.001250000000001
