A_n,L1+(i*size),length_segment
0.11945906065275186,0,2
0.10038440969612322,2.0,0.13043478260869565
0.09747148232528537,2.130434782608696,0.13043478260869565
0.09116673795686679,2.260869565217391,0.13043478260869565
0.08223237261644968,2.391304347826087,0.13043478260869565
0.07169690798037932,2.5217391304347827,0.13043478260869565
0.0606646082116024,2.6521739130434785,0.13043478260869565
0.05013465944958122,2.782608695652174,0.13043478260869565
0.04143616679208576,2.9130434782608696,0.13043478260869565
0.03377572102647454,3.0434782608695654,0.13043478260869565
0.028027367695485323,3.1739130434782608,0.13043478260869565
0.024189553472803185,3.3043478260869565,0.13043478260869565
0.022158142077197397,3.4347826086956523,0.13043478260869565
0.021820957682633046,3.5652173913043477,0.13043478260869565
0.023112322121080258,3.6956521739130435,0.13043478260869565
0.026012049706456406,3.8260869565217392,0.13043478260869565
0.030493039069250143,3.9565217391304346,0.13043478260869565
0.03643931228269528,4.086956521739131,0.13043478260869565
0.043063642032287505,4.217391304347826,0.13043478260869565
0.050849909531386586,4.3478260869565215,0.13043478260869565
0.058676677436575134,4.478260869565217,0.13043478260869565
0.06572943473809237,4.608695652173913,0.13043478260869565
0.07118477743227118,4.739130434782608,0.13043478260869565
0.0743537472756945,4.869565217391305,0.13043478260869565
0.07481117871858516,5.0,0.13043478260869565
0.05982849049496401,7.000000000000001,2
